"Species","Species Name","Scientific Name Authorship","Taxon Rank","Kingdom","Phylum","Class","Order","Family","Genus","Vernacular Name","Conservation","Invasive"
"http://id.biodiversity.org.au/node/apni/2913059","Cyperus microcephalus","R.Br.","species","Plantae","Charophyta","Equisetopsida","Poales","Cyperaceae","Cyperus",,"Northern Territory : Conservation Status",""
"http://id.biodiversity.org.au/node/apni/7952134","Eremophila phyllopoda","Chinnock","species","Plantae","Charophyta","Equisetopsida","Lamiales","Scrophulariaceae","Eremophila",,"",""
"http://id.biodiversity.org.au/node/apni/2892132","Pentapeltis peltigera","(Hook.) Bunge","species","Plantae","Charophyta","Equisetopsida","Apiales","Apiaceae","Pentapeltis",,"",""
"http://id.biodiversity.org.au/node/apni/2897175","Goodenia havilandii","Maiden & Betche","species","Plantae","Charophyta","Equisetopsida","Asterales","Goodeniaceae","Goodenia",,"Queensland : Conservation Status|Northern Territory : Conservation Status",""
"http://id.biodiversity.org.au/node/apni/2898834","Eucalyptus proxima","D.Nicolle & Brooker","species","Plantae","Charophyta","Equisetopsida","Myrtales","Myrtaceae","Eucalyptus",,"",""
"http://id.biodiversity.org.au/node/apni/2901530","Lemooria burkittii","(Benth.) P.S.Short","species","Plantae","Charophyta","Equisetopsida","Asterales","Asteraceae","Lemooria",,"Queensland : Conservation Status|Victoria : Conservation Status",""
"http://id.biodiversity.org.au/node/apni/2904912","Thryptomene costata","Rye & Trudgen","species","Plantae","Charophyta","Equisetopsida","Myrtales","Myrtaceae","Thryptomene",,"",""
"http://id.biodiversity.org.au/node/apni/2905809","Allocasuarina lehmanniana","(Miq.) L.A.S.Johnson","species","Plantae","Charophyta","Equisetopsida","Fagales","Casuarinaceae","Allocasuarina",,"",""
"http://id.biodiversity.org.au/node/apni/2913982","Dillwynia uncinata","(Turcz.) J.M.Black","species","Plantae","Charophyta","Equisetopsida","Fabales","Fabaceae","Dillwynia","Silky Parrot-Pea","Victoria : Conservation Status",""
"http://id.biodiversity.org.au/node/apni/2914032","Parentucellia viscosa","(L.) Caruel","species","Plantae","Charophyta","Equisetopsida","Lamiales","Linderniaceae","Parentucellia",,"","Non-native species|Global Invasive Species Information Network (GISIN)"
"http://id.biodiversity.org.au/node/apni/2915285","Cratystylis conocephala","(F.Muell.) S.Moore","species","Plantae","Charophyta","Equisetopsida","Asterales","Asteraceae","Cratystylis","Blue-Bush Daisy","Victoria : Conservation Status|New South Wales : Conservation Status",""
"http://id.biodiversity.org.au/node/apni/8495539","Levenhookia dubia","Sond.","species","Plantae","Charophyta","Equisetopsida","Asterales","Stylidiaceae","Levenhookia","Hairy Stylewort","Tasmania : Conservation Status",""
"http://id.biodiversity.org.au/node/apni/2887241","Corchorus crozophorifolius","(Baill.) Burret","species","Plantae","Charophyta","Equisetopsida","Malvales","Malvaceae","Corchorus",,"",""
"http://id.biodiversity.org.au/node/apni/2888654","Stylidium crossocephalum","F.Muell.","species","Plantae","Charophyta","Equisetopsida","Asterales","Stylidiaceae","Stylidium",,"",""
"http://id.biodiversity.org.au/node/apni/2889508","Eucalyptus campaspe","S.Moore","species","Plantae","Charophyta","Equisetopsida","Myrtales","Myrtaceae","Eucalyptus",,"",""
"http://id.biodiversity.org.au/node/apni/2890273","Jacksonia restioides","Meisn.","species","Plantae","Charophyta","Equisetopsida","Fabales","Fabaceae","Jacksonia",,"",""
"http://id.biodiversity.org.au/node/apni/2891352","Eucalyptus pruinosa","Schauer","species","Plantae","Charophyta","Equisetopsida","Myrtales","Myrtaceae","Eucalyptus","Silver Box","Northern Territory : Conservation Status",""
"http://id.biodiversity.org.au/node/apni/2894111","Acacia sericophylla","F.Muell.","species","Plantae","Charophyta","Equisetopsida","Fabales","Fabaceae","Acacia",,"Queensland : Conservation Status|Northern Territory : Conservation Status",""
"http://id.biodiversity.org.au/node/apni/2894407","Cyperus iria","L.","species","Plantae","Charophyta","Equisetopsida","Poales","Cyperaceae","Cyperus",,"Queensland : Conservation Status|Northern Territory : Conservation Status",""
"http://id.biodiversity.org.au/node/apni/2895440","Austrostipa eremophila","(Reader) S.W.L.Jacobs & J.Everett","species","Plantae","Charophyta","Equisetopsida","Poales","Poaceae","Austrostipa",,"",""
"http://id.biodiversity.org.au/node/apni/2896317","Amperea ericoides","A.Juss.","species","Plantae","Charophyta","Equisetopsida","Malpighiales","Euphorbiaceae","Amperea",,"",""
"http://id.biodiversity.org.au/node/apni/2896703","Melaleuca bracteosa","Turcz.","species","Plantae","Charophyta","Equisetopsida","Myrtales","Myrtaceae","Melaleuca",,"",""
"http://id.biodiversity.org.au/node/apni/2905275","Pimelea sylvestris","R.Br.","species","Plantae","Charophyta","Equisetopsida","Malvales","Thymelaeaceae","Pimelea",,"",""
"http://id.biodiversity.org.au/node/apni/2905466","Daviesia longifolia","Benth.","species","Plantae","Charophyta","Equisetopsida","Fabales","Fabaceae","Daviesia",,"",""
"http://id.biodiversity.org.au/node/apni/2909017","Halgania lavandulacea","Endl.","species","Plantae","Charophyta","Equisetopsida",,"Boraginaceae","Halgania",,"",""
"http://id.biodiversity.org.au/node/apni/2911949","Ludwigia perennis","L.","species","Plantae","Charophyta","Equisetopsida","Myrtales","Onagraceae","Ludwigia",,"Queensland : Conservation Status|Northern Territory : Conservation Status",""
"http://id.biodiversity.org.au/node/apni/2913518","Eragrostis falcata","(Gaudich.) Gaudich. ex Steud.","species","Plantae","Charophyta","Equisetopsida","Poales","Poaceae","Eragrostis","Sickle Lovegrass","Queensland : Conservation Status|Victoria : Conservation Status|Northern Territory : Conservation Status",""
"http://id.biodiversity.org.au/node/apni/2886532","Solanum symonii","H.Eichler","species","Plantae","Charophyta","Equisetopsida","Solanales","Solanaceae","Solanum",,"",""
"http://id.biodiversity.org.au/node/apni/2892173","Melaleuca societatis","Craven","species","Plantae","Charophyta","Equisetopsida","Myrtales","Myrtaceae","Melaleuca",,"",""
