"taxon_url","scientificName_short","recordedBy","taxonRank","kingdom","phylum","class","order","family","genus","vernacularName","Invasive","scientificName"
"http://id.biodiversity.org.au/node/apni/2919714","Sclerolaena lanicuspis","(F.Muell.) F.Muell. ex Benth.","species","Plantae","Charophyta","Equisetopsida","Caryophyllales","Chenopodiaceae","Sclerolaena","Spinach-Burr","","Sclerolaena lanicuspis (F.Muell.) F.Muell. ex Benth."
"http://id.biodiversity.org.au/node/apni/7385749","Centaurium tenuiflorum","(Hoffmanns. & Link) Fritsch","species","Plantae","Charophyta","Equisetopsida","Gentianales","Gentianaceae","Centaurium","","","Centaurium tenuiflorum (Hoffmanns. & Link) Fritsch"
"http://id.biodiversity.org.au/node/apni/7455751","Pauridia glabella","(R.Br.) Snijman & Kocyan","species","Plantae","Charophyta","Equisetopsida","Asparagales","Hypoxidaceae","Hypoxis","","","Pauridia glabella (R.Br.) Snijman & Kocyan"
"NZOR-4-126119","Thelymitra pauciflora","R.Br.","species","Plantae","Charophyta","Equisetopsida","Asparagales","Orchidaceae","Thelymitra","","","Thelymitra pauciflora R.Br."
"http://id.biodiversity.org.au/node/apni/2888302","Logania micrantha","Benth.","species","Plantae","Charophyta","Equisetopsida","Gentianales","Loganiaceae","Logania","","","Logania micrantha Benth."
"http://id.biodiversity.org.au/node/apni/2888471","Ottelia ovalifolia","(R.Br.) Rich.","species","Plantae","Charophyta","Equisetopsida","Alismatales","Hydrocharitaceae","Ottelia","Swamp Lily","","Ottelia ovalifolia (R.Br.) Rich."
"http://id.biodiversity.org.au/node/apni/2890532","Sphenotoma parviflora","(F.Muell. ex Benth.) F.Muell.","species","Plantae","Charophyta","Equisetopsida","Ericales","Ericaceae","Sphenotoma","","","Sphenotoma parviflora (F.Muell. ex Benth.) F.Muell."
"http://id.biodiversity.org.au/node/apni/2892052","Urochloa piligera","(F.Muell. ex Benth.) R.D.Webster","species","Plantae","Charophyta","Equisetopsida","Poales","Poaceae","Urochloa","","","Urochloa piligera (F.Muell. ex Benth.) R.D.Webster"
"http://id.biodiversity.org.au/node/apni/2892786","Ptilotus sp. Goldfields (R.Davis 10796)","WA Herbarium","species","Plantae","Charophyta","Equisetopsida","Caryophyllales","Amaranthaceae","Ptilotus","","","Ptilotus sp. Goldfields (R.Davis 10796) WA Herbarium"
"http://id.biodiversity.org.au/node/apni/2895096","Pimelea brevistyla","Rye","species","Plantae","Charophyta","Equisetopsida","Malvales","Thymelaeaceae","Pimelea","","","Pimelea brevistyla Rye"
"http://id.biodiversity.org.au/node/apni/2895662","Acacia deltoidea","A.Cunn. ex G.Don","species","Plantae","Charophyta","Equisetopsida","Fabales","Fabaceae","Acacia","","","Acacia deltoidea A.Cunn. ex G.Don"
"http://id.biodiversity.org.au/node/apni/2898193","Fimbristylis simulans","Latz","species","Plantae","Charophyta","Equisetopsida","Poales","Cyperaceae","Fimbristylis","","","Fimbristylis simulans Latz"
"http://id.biodiversity.org.au/node/apni/2899218","Terminalia volucris","R.Br. ex Benth.","species","Plantae","Charophyta","Equisetopsida","Myrtales","Combretaceae","Terminalia","","","Terminalia volucris R.Br. ex Benth."
"http://id.biodiversity.org.au/node/apni/2900445","Drosera androsacea","Diels","species","Plantae","Charophyta","Equisetopsida","Caryophyllales","Droseraceae","Drosera","","","Drosera androsacea Diels"
"http://id.biodiversity.org.au/node/apni/2901115","Poa annua","L.","species","Plantae","Charophyta","Equisetopsida","Poales","Poaceae","Poa","Annual Poa","Non-native species","Poa annua L."
"http://id.biodiversity.org.au/node/apni/2901491","Adenanthos apiculatus","R.Br.","species","Plantae","Charophyta","Equisetopsida","Proteales","Proteaceae","Adenanthos","","","Adenanthos apiculatus R.Br."
"http://id.biodiversity.org.au/node/apni/2905541","Trachymene elachocarpa","(F.Muell.) B.L.Burtt","species","Plantae","Charophyta","Equisetopsida","Apiales","Araliaceae","Trachymene","","","Trachymene elachocarpa (F.Muell.) B.L.Burtt"
"http://id.biodiversity.org.au/node/apni/2908057","Triumfetta triandra","Sprague & Hutch.","species","Plantae","Charophyta","Equisetopsida","Malvales","Malvaceae","Triumfetta","","","Triumfetta triandra Sprague & Hutch."
"http://id.biodiversity.org.au/node/apni/2910853","Daviesia rubiginosa","Crisp","species","Plantae","Charophyta","Equisetopsida","Fabales","Fabaceae","Daviesia","","","Daviesia rubiginosa Crisp"
"http://id.biodiversity.org.au/node/apni/2916396","Beaufortia interstans","F.Muell.","species","Plantae","Charophyta","Equisetopsida","Myrtales","Myrtaceae","Beaufortia","","","Beaufortia interstans F.Muell."
"http://id.biodiversity.org.au/node/apni/2919956","Nicotiana simulans","N.T.Burb.","species","Plantae","Charophyta","Equisetopsida","Solanales","Solanaceae","Nicotiana","","","Nicotiana simulans N.T.Burb."
"http://id.biodiversity.org.au/node/apni/2920290","Brachychiton acuminatus","Guymer","species","Plantae","Charophyta","Equisetopsida","Malvales","Malvaceae","Brachychiton","","","Brachychiton acuminatus Guymer"
"http://id.biodiversity.org.au/node/apni/2920624","Stenanthemum complicatum","(F.Muell.) Rye","species","Plantae","Charophyta","Equisetopsida","Rosales","Rhamnaceae","Stenanthemum","","","Stenanthemum complicatum (F.Muell.) Rye"
"http://id.biodiversity.org.au/node/apni/2905815","Logania fasciculata","R.Br.","species","Plantae","Charophyta","Equisetopsida","Gentianales","Loganiaceae","Logania","","","Logania fasciculata R.Br."
"http://id.biodiversity.org.au/node/apni/2908652","Nicotiana goodspeedii","H.-M.Wheeler","species","Plantae","Charophyta","Equisetopsida","Solanales","Solanaceae","Nicotiana","Small-Flower Tobacco","","Nicotiana goodspeedii H.-M.Wheeler"
"http://id.biodiversity.org.au/node/apni/2912020","Leucopogon sp. Southern Forests (B.G.Hammersley 1000)","WA Herbarium","species","Plantae","Charophyta","Equisetopsida","Ericales","Ericaceae","Leucopogon","","","Leucopogon sp. Southern Forests (B.G.Hammersley 1000) WA Herbarium"
"http://id.biodiversity.org.au/node/apni/2912301","Hibbertia verrucosa","(Turcz.) Benth.","species","Plantae","Charophyta","Equisetopsida","","Dilleniaceae","Hibbertia","","","Hibbertia verrucosa (Turcz.) Benth."
"http://id.biodiversity.org.au/node/apni/2913253","Jacksonia arenicola","Chappill","species","Plantae","Charophyta","Equisetopsida","Fabales","Fabaceae","Jacksonia","","","Jacksonia arenicola Chappill"
"http://id.biodiversity.org.au/node/apni/2913962","Persoonia stricta","C.A.Gardner ex P.H.Weston","species","Plantae","Charophyta","Equisetopsida","Proteales","Proteaceae","Persoonia","","","Persoonia stricta C.A.Gardner ex P.H.Weston"
"http://id.biodiversity.org.au/node/apni/2914405","Trithuria bibracteata","Stapf ex D.A.Cooke","species","Plantae","Charophyta","Equisetopsida","Nymphaeales","Hydatellaceae","Trithuria","","","Trithuria bibracteata Stapf ex D.A.Cooke"
"http://id.biodiversity.org.au/node/apni/2915735","Atriplex lindleyi","Moq.","species","Plantae","Charophyta","Equisetopsida","Caryophyllales","Chenopodiaceae","Atriplex","","","Atriplex lindleyi Moq."
"http://id.biodiversity.org.au/node/apni/2917879","Cryptandra aridicola","Rye","species","Plantae","Charophyta","Equisetopsida","Rosales","Rhamnaceae","Cryptandra","","","Cryptandra aridicola Rye"
"http://id.biodiversity.org.au/node/apni/2918473","Lepidium muelleri-ferdinandi","Thell.","species","Plantae","Charophyta","Equisetopsida","Brassicales","Brassicaceae","Lepidium","","","Lepidium muelleri-ferdinandi Thell."
"http://id.biodiversity.org.au/node/apni/2919754","Hemigenia diplanthera","F.Muell.","species","Plantae","Charophyta","Equisetopsida","Lamiales","Lamiaceae","Hemigenia","","","Hemigenia diplanthera F.Muell."
"http://id.biodiversity.org.au/node/apni/7487420","Hemiarrhena plantaginea","(F.Muell.) Benth.","species","Plantae","Charophyta","Equisetopsida","Lamiales","Linderniaceae","Hemiarrhena","","","Hemiarrhena plantaginea (F.Muell.) Benth."
"http://id.biodiversity.org.au/node/apni/2889035","Eriachne avenacea","R.Br.","species","Plantae","Charophyta","Equisetopsida","Poales","Poaceae","Eriachne","","","Eriachne avenacea R.Br."
"http://id.biodiversity.org.au/node/apni/2889145","Lomandra leucocephala","(R.Br.) Ewart","species","Plantae","Charophyta","Equisetopsida","Asparagales","Asparagaceae","Lomandra","","","Lomandra leucocephala (R.Br.) Ewart"
"http://id.biodiversity.org.au/node/apni/2891207","Phyllanthus scaber","Klotzsch","species","Plantae","Charophyta","Equisetopsida","Malpighiales","Phyllanthaceae","Phyllanthus","","","Phyllanthus scaber Klotzsch"
"http://id.biodiversity.org.au/node/apni/2897889","Grevillea velutinella","McGill.","species","Plantae","Charophyta","Equisetopsida","Proteales","Proteaceae","Grevillea","","","Grevillea velutinella McGill."
